name,recipe,base_ingredient,diet,preparation_method,taste,time_of_taking,cuisine_followed,region,protein_rich_indicator,nutritional_benefits,,,,,
Bebinca,"Coconut milk, egg yolks, clarified butter, all purpose flour",Egg,vegetarian,Baked,sweet,Evening,Goan,North Indian,Rich in Protein,High Fat,,,,,
Beef Fry,"Beef, coconut, garam masala, curry leaves, green chilies, chili powder",Beef,non vegetarian,Fried,spicy,Dinner,Kerala,South Indian,Not Rich in Protein,High Fat,,,,,
Bengena Pitika,"Brinjal, onions, salt, sesame seeds, coriander",Eggplant,vegetarian,Curry,-1,Evening,Assam,North Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Bhakri,"Jowar flour, sesame seeds",Flour,vegetarian,Roasted,-1,Evening,Maharashtrian,North Indian,Not Rich in Protein,High Fiber,,,,,
Bhatura,"Chole, rava, yogurt, plain flour, baking soda",Flour,vegetarian,Fried,spicy,Dinner,Punjabi,North Indian,Not Rich in Protein,High Fat,,,,,
Bhindi masala,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder",Okra,vegetarian,Curry,spicy,Dinner,Punjabi,North Indian,Rich in Protein,Vitamins and Minerals,,,,,
Bilahi Maas,"Potatoes, garam masala, tomatoes, mustard oil, bay leaf",Fish,non vegetarian,Curry,-1,Dinner,Assam,North Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Biryani,"Chicken thighs, basmati rice, star anise, sweet, green chillies",Rice,non vegetarian,Curry,spicy,Lunch,Hyderabadi,South Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Bisi bele bath,"Split pigeon peas, chana dal, urad dal, green peas, french beans",Rice and lentils,vegetarian,Curry,spicy,Lunch,Karnataka,South Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Black rice,"Forbidden black rice, chicken, olive oil, slivered almonds, garlic powder",Rice,non vegetarian,Boiled (or Steamed),-1,Anytime,Manipur,North Indian,Not Rich in Protein,High Fiber,,,,,
Bombil fry,"Bombay duck, malvani masala, rice flour, bombay rava, green chilies",Fish,non vegetarian,Fried,spicy,Dinner,Maharashtrian,North Indian,Not Rich in Protein,High Fat,,,,,
Boondi,"Gram flour, ghee, sugar",Flour,vegetarian,Fried,sweet,Evening,Rajasthan,North Indian,Not Rich in Protein,High Fat,,,,,
Bora Sawul,"Biryani masala, mixed vegetables, yellow moong daal, whole red, mustard seeds",Rice,vegetarian,Boiled (or Steamed),spicy,Anytime,Assam,North Indian,Not Rich in Protein,High Fiber,,,,,
Brown Rice,"Brown rice, soy sauce, olive oil",Rice,vegetarian,Boiled (or Steamed),-1,Anytime,-1,-1,Not Rich in Protein,High Fiber,,,,,
Butter chicken,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",Beef,non vegetarian,Curry,spicy,Dinner,NCT of Delhi,North Indian,Not Rich in Protein,High Fat,,,,,
Chak Hao Kheer,"Rice, milk, sugar, cardamom",Rice,vegetarian,Boiled (or Steamed),sweet,Anytime,Manipur,North Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Chakali,"Rice flour, sesame, plain flour, turmeric, red chilli",Flour,vegetarian,Fried,spicy,Anytime,Maharashtrian,North Indian,Not Rich in Protein,High Fat,,,,,
Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",Paneer,vegetarian,Spread,sweet,Anytime,Bengali,North Indian,Not Rich in Protein,High Fat,,,,,
Chana masala,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",Chickpeas,vegetarian,Curry,spicy,Dinner,Punjabi,North Indian,Not Rich in Protein,High Fiber,,,,,
Chapati,"Whole wheat flour, olive oil, hot water, all purpose flour",Wheat flour,vegetarian,Roasted,-1,Anytime,Maharashtrian,North Indian,Not Rich in Protein,High Fiber,,,,,
Cheera Doi,"Rice, mango, curd",Spinach,vegetarian,Spread,sweet,Anytime,Bengali,North Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Chevdo,"Citric acid, fry, raisins, sugar, chana daal",Mixed ingredients,vegetarian,Fried,spicy,Evening,Gujarathi,North Indian,Not Rich in Protein,High Fat,,,,,
Chhena jalebi,"Chhena, sugar, ghee",Paneer,vegetarian,Fried,sweet,Anytime,Odisha,North Indian,Not Rich in Protein,High Fat,,,,,
Chhena kheeri,"Chhena, sugar, milk",Paneer,vegetarian,Baked,sweet,Anytime,Odisha,North Indian,Rich in Protein,Calcium-Rich,,,,,
Chhena poda,"Sugar, chenna cheese",Paneer,vegetarian,Baked,sweet,Anytime,Odisha,North Indian,Rich in Protein,Calcium-Rich,,,,,
Chicken razala,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",Chicken,non vegetarian,Curry,spicy,Dinner,Bengali,North Indian,Rich in Protein,High Fat,,,,,
Chicken Tikka,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg",Chicken,non vegetarian,Roasted,spicy,Dinner,Punjabi,North Indian,Rich in Protein,High Fat,,,,,
Chicken Tikka masala,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala",Chicken,non vegetarian,Curry,spicy,Dinner,Punjabi,North Indian,Not Rich in Protein,High Fat,,,,,
Chicken Varuval,"Meat curry powder, chicken chunks, ginger, tomato, cinnamon",Chicken,non vegetarian,Fried,spicy,Dinner,Tamil,South Indian,Not Rich in Protein,High Fat,,,,,
Chikki,"Peanuts, jaggery",Nuts,vegetarian,Fried,sweet,Anytime,Maharashtrian,North Indian,Not Rich in Protein,High Fat,,,,,
Chingri Bhape,"Coconut, prawns, curd, mustard seed, green chili",Prawns,non vegetarian,Boiled (or Steamed),-1,Dinner,Bengali,North Indian,Not Rich in Protein,High Fat,,,,,
Chingri malai curry,"Coconut milk, lobster, fresh green chilli, ginger, red onion",Prawns,non vegetarian,Curry,spicy,Dinner,Bengali,North Indian,Not Rich in Protein,High Fat,,,,,
Chole bhature,"Chole, bhatura, garam masala, bay leaf, cinnamon stick",Chickpeas,vegetarian,Fried,spicy,Dinner,Punjabi,North Indian,Not Rich in Protein,High Fat,,,,,
Chorafali,"Urad dal, bengal gram flour, dried mango, baking soda, black salt",Flour,vegetarian,Fried,spicy,Evening,Gujarathi,North Indian,Not Rich in Protein,High Fat,,,,,
Churma Ladoo,"Whole wheat flour, khus khus, sesame seeds, dry coconut, gur",Whole wheat flour,vegetarian,Fried,sweet,Anytime,Rajasthan,North Indian,Not Rich in Protein,High Fiber,,,,,
Coconut vadi,"Condensed milk, mawa, desiccated coconut, almonds, cashews",Condensed milk,vegetarian,Fried,sweet,Anytime,Maharashtrian,North Indian,Rich in Protein,High Fat,,,,,
Copra paak,"Condensed milk, nestle cream, coconut ice, red food coloring, desiccated coconut",Condensed milk,vegetarian,Baked,-1,Anytime,Gujarathi,North Indian,Rich in Protein,High Fat,,,,,
Currivepillai sadam ,"Chana dal, urad dal, fresh coconut, sesame seeds, curry leaves",Chana dal,vegetarian,Curry,spicy,Lunch,Tamil,South Indian,Rich in Protein,Vitamins and Minerals,,,,,
Daal baati churma,"Moong dal, masoor dal, chana dal, wheat flour, almond",Moong dal,vegetarian,Boiled (or Steamed),spicy,Lunch,Rajasthan,North Indian,Not Rich in Protein,High Fiber,,,,,
Daal Dhokli,"Whole wheat flour, dal, kokum, gur, bengal gram flour",Whole wheat flour,vegetarian,Boiled (or Steamed),spicy,Lunch,Gujarathi,North Indian,Rich in Protein,High Fiber,,,,,
Daal puri,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour",Moong dal,vegetarian,Fried,spicy,Lunch,Bengali,North Indian,Rich in Protein,High Fiber,,,,,
Dahi vada,"Urad dal, bhuna chana, garam masala, dates, tamarind",Urad dal,vegetarian,Fried,-1,Anytime,Maharashtrian,North Indian,Rich in Protein,Vitamins and Minerals,,,,,
Dal makhani ,"Red kidney beans, urad dal, cream, garam masala, chili powder",Red kidney beans,vegetarian,Curry,sweet,Lunch,Punjabi,North Indian,Rich in Protein,High Fiber,,,,,
Dal tadka,"Pigeon peas, garam masala, ginger, red onion, kasuri methi",Pigeon peas,vegetarian,Curry,spicy,Lunch,Punjabi,North Indian,Not Rich in Protein,High Fiber,,,,,
Dalithoy,"Arhar dal, coconut oil, curry leaves, mustard seeds, red chilli",Arhar dal,vegetarian,Curry,-1,Lunch,Maharashtrian,North Indian,Rich in Protein,High Fiber,,,,,
Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",Milk,vegetarian,Baked,sweet,Anytime,Karnataka,South Indian,Rich in Protein,Calcium-Rich,,,,,
Dhokla,"Rava, coconut, gram flour, mustard, sesame",Rava,vegetarian,Boiled (or Steamed),spicy,Anytime,Gujarathi,North Indian,Rich in Protein,High Fiber,,,,,
Dhondas,"Cucumber, rava",Cucumber,vegetarian,Baked,sweet,Anytime,Maharashtrian,North Indian,Not Rich in Protein,High Fiber,,,,,
Doodhpak,"Milk, rice, sugar, dry fruits",Milk,vegetarian,Boiled (or Steamed),sweet,Anytime,Gujarathi,North Indian,Not Rich in Protein,Calcium-Rich,,,,,
Dosa,"Chana dal, urad dal, whole urad dal, blend rice, rock salt",Chana dal,vegetarian,Roasted,spicy,Anytime,-1,South Indian,Not Rich in Protein,High Fiber,,,,,
Double ka meetha,"Loaf bread, milk",Loaf bread,vegetarian,Baked,sweet,Anytime,Hyderabadi,South Indian,Not Rich in Protein,High Fat,,,,,
Dudhi halwa,"Bottle gourd, green, raisins, sugar, clarified butter",Bottle gourd,vegetarian,Baked,sweet,Anytime,Gujarathi,North Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Dum aloo,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",Baby potatoes,vegetarian,Curry,spicy,Dinner,Jammu & Kashmir,North Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Fara,"Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder",Chana dal,vegetarian,Boiled (or Steamed),spicy,Anytime,Chhattisgarh,North Indian,Not Rich in Protein,High Fiber,,,,,
Farsi Puri,"Semolina, clarified butter, oil, white flour, black pepper",Semolina,vegetarian,Fried,-1,Anytime,Gujarathi,North Indian,Not Rich in Protein,High Fiber,,,,,
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",Carrots,vegetarian,Baked,sweet,Anytime,Punjabi,North Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Galho,"Rice, axone, salt, water, chillies, pork",Rice,non vegetarian,Curry,spicy,Anytime,Nagaland,North Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Gatta curry,"Yogurt, besan, sauce, garam masala powder, gram flour",Yogurt,vegetarian,Curry,spicy,Dinner,Rajasthan,North Indian,Not Rich in Protein,High Fiber,,,,,
Gavvalu,"Rice flour, sugar, salt, ghee, semolina",Rice flour,vegetarian,Fried,sweet,Anytime,Hyderabadi,South Indian,Not Rich in Protein,High Fiber,,,,,
Gheela Pitha,"Sticky rice, rice flour, jaggery, orange rind",Sticky rice,vegetarian,Fried,sweet,Anytime,Assam,North Indian,Not Rich in Protein,High Fiber,,,,,
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",Flour,vegetarian,Fried,sweet,Anytime,Rajasthan,North Indian,Not Rich in Protein,High Fiber,,,,,
Ghooghra,"Dry fruits, semolina, all purpose flour",Dry fruits,vegetarian,Fried,spicy,Anytime,Gujarathi,North Indian,Not Rich in Protein,High Fat,,,,,
Goja,"Baking soda, clarified butter, oil, all purpose flour",Baking soda,vegetarian,Fried,sweet,Anytime,Bengali,North Indian,Not Rich in Protein,High Fiber,,,,,
Gud papdi,"Wheat flour, jaggery, clarified butter, sliced almonds",Wheat flour,vegetarian,Baked,sweet,Anytime,Gujarathi,North Indian,Not Rich in Protein,High Fat,,,,,
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",Milk powder,vegetarian,Fried,sweet,Anytime,Bengali,North Indian,Not Rich in Protein,High Fiber,,,,,
Halvasan,"Whole wheat rava, chia seed, lemon, edible gum, litre milk",Whole wheat rava,vegetarian,Baked,sweet,Anytime,Gujarathi,North Indian,Not Rich in Protein,High Fat,,,,,
Hando Guri,"Jaggery, raisins",Jaggery,vegetarian,Fried,sweet,Anytime,Assam,North Indian,Not Rich in Protein,High Fiber,,,,,
Handwo,"Bottle gourd, chana dal, cabbage, urad dal, toor dal",Bottle gourd,vegetarian,Fried,spicy,Anytime,Gujarathi,North Indian,Not Rich in Protein,High Fiber,,,,,
Haq Maas,"Lamb, garam masala powder, curd, turmeric, bay leaf",Lamb,non vegetarian,Curry,spicy,Dinner,Assam,North Indian,Rich in Protein,High Fiber,,,,,
Idiappam,"Rice flour, hot water, grated coconut",Rice flour,vegetarian,Boiled (or Steamed),spicy,Anytime,Tamil,South Indian,Not Rich in Protein,High Fiber,,,,,
Idli,"Split urad dal, urad dal, idli rice, thick poha, rock salt",Split urad dal,vegetarian,Boiled (or Steamed),spicy,Anytime,-1,South Indian,Not Rich in Protein,High Fiber,,,,,
Imarti,"Sugar syrup, lentil flour",Lentil flour,vegetarian,Fried,sweet,Anytime,Bengali,North Indian,Not Rich in Protein,High Fiber,,,,,
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",Maida,vegetarian,Fried,sweet,Anytime,Uttar Pradesh,North Indian,Not Rich in Protein,High Fat,,,,,
Jeera Aloo,"Green chilies, lemon juice, chili powder, boiled potatoes",Green chilies,vegetarian,Fried,spicy,Anytime,Gujarathi,North Indian,Not Rich in Protein,High Fat,,,,,
Kaara kozhambu,"Sesame oil, drumstick, tamarind paste, sambar powder, tomato",Sesame oil,vegetarian,Curry,spicy,Dinner,Tamil,South Indian,Not Rich in Protein,High Fiber,,,,,
Kabiraji,"Fish fillet, besan, lemon, mint, ginger",Fish fillet,non vegetarian,Fried,spicy,Anytime,Bengali,North Indian,Not Rich in Protein,High Fat,,,,,
Kachori,"Moong dal, rava, garam masala, dough, fennel seeds",Moong dal,vegetarian,Fried,spicy,Anytime,Uttar Pradesh,North Indian,Not Rich in Protein,High Fiber,,,,,
Kadai paneer,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts",Cottage cheese,vegetarian,Curry,spicy,Dinner,Punjabi,North Indian,Not Rich in Protein,High Fiber,,,,,
Kadhi pakoda,"Besan, garam masala powder, gram flour, ginger, curry leaves",Besan,vegetarian,Curry,spicy,Dinner,Haryana,North Indian,Not Rich in Protein,High Fiber,,,,,
Kajjikaya,"Rice flour, jaggery, coconut",Rice flour,vegetarian,Fried,sweet,Anytime,Hyderabadi,South Indian,Not Rich in Protein,High Fat,,,,,
Kaju katli,"Cashews, ghee, cardamom, sugar",Cashews,vegetarian,Baked,sweet,Anytime,-1,-1,Not Rich in Protein,High Fat,,,,,
Kakinada khaja,"Wheat flour, sugar",Wheat flour,vegetarian,Fried,sweet,Anytime,Hyderabadi,South Indian,Not Rich in Protein,High Fat,,,,,
Kalakand,"Milk, cottage cheese, sugar",Milk,vegetarian,Baked,sweet,Anytime,Bengali,North Indian,Not Rich in Protein,Calcium-Rich,,,,,
Kanji,"Carrot, yellow mustard, red chilli, black salt",Rice,vegetarian,Boiled (or Steamed),-1,Anytime,Kerala,South Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Kansar,"Wheat flour, cashews, rapeseed oil",Wheat flour,vegetarian,Boiled (or Steamed),-1,Anytime,Gujarathi,North Indian,Not Rich in Protein,High Fiber,,,,,
Karela bharta,"Bitter gourd, fennel, garam masala powder, chili powder, amchur powder",Bitter gourd,vegetarian,Curry,bitter,Dinner,Punjabi,North Indian,Not Rich in Protein,High Fiber,,,,,
Keerai kootu,"Moong dal, chana dal, spinach, urad dal, coconut oil",Moong dal,vegetarian,Curry,spicy,Lunch,Tamil,South Indian,Not Rich in Protein,High Fiber,,,,,
Keerai masiyal,"Urad dal, curry leaves, sugar, mustard seeds, spinach",Urad dal,vegetarian,Curry,spicy,Lunch,Tamil,South Indian,Not Rich in Protein,High Fiber,,,,,
Keerai poriyal,"Amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili",Amaranth leaves,vegetarian,Fried,spicy,Lunch,Tamil,South Indian,Not Rich in Protein,High Fiber,,,,,
Keerai sadam,"Greens, tomato, mustard seeds, fenugreek seeds",Greens,vegetarian,Curry,spicy,Lunch,Tamil,South Indian,Not Rich in Protein,High Fiber,,,,,
Keri no ras,"Mango, sugar",Mango,vegetarian,Curry,sour,Anytime,Gujarathi,North Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Khakhra,"Whole wheat flour, low fat, bengal gram flour",Whole wheat flour,vegetarian,Roasted,spicy,Anytime,Gujarathi,North Indian,Not Rich in Protein,High Fiber,,,,,
Khaman,"Yogurt, fresh coconut, sesame seeds, semolina, gram flour",Gram flour,vegetarian,Boiled (or Steamed),spicy,Anytime,Gujarathi,North Indian,Not Rich in Protein,High Fiber,,,,,
Khandvi,"Green chili paste, white sesame seeds, gram flour, curry leaves, green chili",Gram flour,vegetarian,Boiled (or Steamed),spicy,Anytime,Gujarathi,North Indian,Not Rich in Protein,High Fiber,,,,,
Khar,"Raw papaya, panch phoran masala, nigella seeds, mustard oil, fennel seeds",Raw papaya,vegetarian,Curry,-1,Anytime,Assam,North Indian,Not Rich in Protein,High Fiber,,,,,
Kheer,"Milk, rice, sugar, dried fruits",Milk,vegetarian,Boiled (or Steamed),sweet,Anytime,-1,-1,Not Rich in Protein,Calcium-Rich,,,,,
Kheer sagar,"Chenna, condensed milk, sugar, saffron, cardamom",Rice,vegetarian,Boiled (or Steamed),sweet,Anytime,Odisha,North Indian,Not Rich in Protein,Calcium-Rich,,,,,
Khichdi,"Moong dal, green peas, ginger, tomato, green chili",Rice flour,vegetarian,Boiled (or Steamed),spicy,Anytime,-1,-1,Not Rich in Protein,High Fiber,,,,,
Khichu,"Rice flour, sesame seeds, baking soda, peanut oil",Fermented bamboo shoot,vegetarian,Boiled (or Steamed),spicy,Anytime,Gujarathi,North Indian,Not Rich in Protein,High Fiber,,,,,
Khorisa,"Fermented bamboo shoot, potato, ginger, green, mustard oil",Paneer,vegetarian,Curry,spicy,Anytime,Assam,North Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Kofta,"Paneer, potato, cream, corn flour, garam masala",Chicken,vegetarian,Fried,spicy,Dinner,Uttar Pradesh,North Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Koldil Chicken,"Banana flower, chicken, green chili, mustard oil, lemon juice",Rice flour,non vegetarian,Curry,spicy,Dinner,Assam,North Indian,Rich in Protein,Vitamins and Minerals,,,,,
Koldil Duck,"Rice flour, mutton, banana, gram flour, olive oil, baking powder",Baingan,non vegetarian,Curry,spicy,Dinner,Assam,North Indian,Rich in Protein,Vitamins and Minerals,,,,,
Kolim Jawla,"Baingan, fish, coconut oil, fresh coconut, ginger",Rice flour,non vegetarian,Curry,spicy,Dinner,Maharashtrian,North Indian,Rich in Protein,Vitamins and Minerals,,,,,
Kombdi vade,"Rice flour, urad dal, wheat flour, gram flour, turmeric",Aloo,vegetarian,Fried,spicy,Dinner,Maharashtrian,North Indian,Rich in Protein,High Fiber,,,,,
Konir Dom,"Aloo, tomatoes, mustard oil, bay leaf, cinnamon stick",Chana dal, vegetarian,Curry,spicy,Dinner,Assam,North Indian,Rich in Protein,Vitamins and Minerals,,,,,
Kootu,"Chana dal, urad dal, potato, beans, peas",Moong dal,vegetarian,Curry,spicy,Lunch,Tamil,South Indian,Not Rich in Protein,High Fiber,,,,,
Kos kootu,"Moong dal, chana dal, cabbage, tamarind, curry leaves",Cucumber,vegetarian,Curry,spicy,Lunch,Tamil,South Indian,Not Rich in Protein,High Fiber,,,,,
Koshambri,"Moong dal, cucumber, curry leaves, green chili, lemon juice",Lemon juice,vegetarian,Curry,spicy,Lunch,Karnataka,South Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Koshimbir,"Cucumber, carrot, tomatoes, cilantro",Greens,vegetarian,Curry,spicy,Anytime,Maharashtrian,North Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Kothamali sadam,"Chana dal, urad dal, gooseberry, raw rice, curry leaves",Milk,vegetarian,Curry,spicy,Anytime,Tamil,South Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Kulfi falooda,"Rose syrup, falooda sev, mixed nuts, saffron, sugar",Rice,vegetarian,Baked,sweet,Lunch,-1,-1,Not Rich in Protein,Calcium-Rich,,,,,
Kumol Sawul,"Rice, eggs, carrot, beetroot",Wheat flour,non vegetarian,Boiled (or Steamed),spicy,Anytime,Assam,North Indian,Not Rich in Protein,High Fiber,,,,,
Kutchi dabeli,"Pav, aloo, peanut, pomegranate, star anise",Rice flour,vegetarian,Fried,spicy,Anytime,Gujarathi,North Indian,Not Rich in Protein,High Fiber,,,,,
Kuzhakkattai,"Sesame oil, raw rice, jaggery, grated coconut",Lentil flour,vegetarian,Boiled (or Steamed),spicy,Anytime,Tamil,South Indian,Not Rich in Protein,High Fiber,,,,,
Kuzhambu,"Pearl onions, urad dal, drumsticks, tomato, curry leaves",Rice,vegetarian,Curry,spicy,Lunch,Tamil,South Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Kuzhi paniyaram,"Black lentils, rice",Wheat flour,vegetarian,Fried,sweet,Anytime,Kerala,South Indian,Not Rich in Protein,High Fiber,,,,,
Laapsi,"Cinnamon, jaggery, clarified butter, dry roasted",Lentil flour,vegetarian,Boiled (or Steamed),spicy,Anytime,Madhya Pradesh,South Indian,Not Rich in Protein,High Fiber,,,,,
Laddu,"Gram flour, ghee, sugar",Gram flour,vegetarian,Baked,sweet,Anytime,-1,-1,Not Rich in Protein,High Fiber,,,,,
Lassi,"Yogurt, milk, nuts, sugar",Bottle gourd,vegetarian,Boiled (or Steamed),sweet,Anytime,Punjabi,North Indian,Not Rich in Protein,High Fiber,,,,,
Lauki ke kofte,"Bottle gourd, garam masala powder, gram flour, ginger, chillies",Bottle gourd,vegetarian,Curry,spicy,Dinner,Uttar Pradesh,North Indian,Not Rich in Protein,High Fiber,,,,,
Lauki ki subji,"Bottle gourd, coconut oil, garam masala, ginger, green chillies",Wheat flour,vegetarian,Curry,spicy,Dinner,-1,-1,Not Rich in Protein,High Fiber,,,,,
Ledikeni,"Chhena, sugar, ghee",Gram flour,vegetarian,Fried,sweet,Anytime,Bengali,North Indian,Not Rich in Protein,High Fiber,,,,,
Lilva Kachori,"Green garlic chutney, fresh green peas, ginger, lemon juice, plain flour",Wheat flour,vegetarian,Fried,spicy,Anytime,Gujarathi,North Indian,Not Rich in Protein,High Fiber,,,,,
Litti chokha,"Wheat flour, roasted gram flour, tomato, nigella seeds, chilli",Semolina,vegetarian,Fried,spicy,Dinner,Bihar,North Indian,Not Rich in Protein,High Fiber,,,,,
Luchi,"Maida, vegetable oil",Wheat flour,vegetarian,Fried,-1,Dinner,Bengali,North Indian,Not Rich in Protein,High Fiber,,,,,
Lyangcha,"Flour, fried milk power, sugar syrup",Fish,vegetarian,Curry,sweet,Dinner,Assam,North Indian,Not Rich in Protein,High Fiber,,,,,
Maach Jhol,"Fish, potol, tomato, chillies, ginger, garlic",Lentil flour,non vegetarian,Boiled (or Steamed),spicy,Dinner,Assam,North Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Mag Dhokli,"Moong beans, jaggery, red chillies, oil, salt",Wheat flour,vegetarian,Fried,spicy,Dinner,Gujarathi,North Indian,Not Rich in Protein,High Fiber,,,,,
Mahim halwa,"Semolina, sugar",Corn flour,vegetarian,Baked,sweet,Anytime,Maharashtrian,North Indian,Not Rich in Protein,High Fiber,,,,,
Makki di roti sarson da saag,"Palak, makki atta, mustard green, garam masala, ginger",Wheat flour,vegetarian,Roasted,spicy,Dinner,Punjabi,North Indian,Not Rich in Protein,High Fiber,,,,,
Malapua,"Yoghurt, refined flour, ghee, fennel seeds",Rice flour,vegetarian,Fried,sweet,Anytime,Bihar,North Indian,Not Rich in Protein,High Fiber,,,,,
Masala Dosa,"Chana dal, urad dal, potatoes, idli rice, thick poha",Rice,vegetarian,Roasted,spicy,Anytime,-1,South Indian,Rich in Protein,High Fiber,,,,,
Masor Koni,"Fish roe, pumpkin flowers, mustard oil, turmeric, tomato",Fish,non vegetarian,Curry,spicy,Dinner,Assam,North Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Masor tenga,"Ridge gourd, fish, lemon, tomatoes, mustard oil",Fish,non vegetarian,Curry,spicy,Dinner,Assam,North Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Mawa Bati,"Milk powder, dry fruits, arrowroot powder, all purpose flour",Mawa (Khoya),vegetarian,Baked,sweet,Anytime,Madhya Pradesh,South Indian,Not Rich in Protein,High Fiber,,,,,
